,Popularity,Region,TERM,Full Form | Definition | Meaning,MainCategory,SubCategory
78,40,United,AAPL,American Academy of Psychiatry and the Law,Associations & Organizations,Professional Associations
79,20,United,AAPL,Aero-Acoustic Propulsion Laboratory,Academic & Science,Research & Development
80,20,Worldwide,AAPSO,The Afro-Asian Peoples’ Solidarity Organization,Associations & Organizations,Social Welfare Organizations
81,80,Worldwide,AARA,Air-to-Air Refueling Area,Technology,Airplanes & Aircraft
82,30,United,AARP,American Association of Retired Persons,Associations & Organizations,Regional Organizations
83,20,Worldwide,AARP,AppleTalk Address Resolution Protocol,Computing,Protocols
84,30,United,AASHTO,American Association of State Highway and Transportation Officials,Associations & Organizations,Regional Organizations
85,90,Canada,AB,Alberta,Regional,Postal Codes
86,70,United,AB,Assembly Bill,Governmental,Law & Legal
87,60,Germany,AB,Air Berlin,Transport & Travel,Airline Codes
88,60,Sweden,AB,Aktiebolag,Business,Business Terms
89,60,Worldwide,Ab,Antibody,Medical,Anatomy & Physiology
90,60,Worldwide,AB,Allen-Bradley,Business,Companies & Corporations
91,50,Worldwide,AB,Anheuser-Busch,Business,Companies & Corporations
92,50,Worldwide,AB,Blood Type AB,Medical,Anatomy & Physiology
93,50,United,AB,Alter Bridge,Arts,Musical groups
94,50,Belgium,AB,Ancienne Belgique,Regional,Buildings & Landmarks
95,40,Worldwide,ab,ApacheBench,Computing,Software & Applications
96,40,Worldwide,AB,At Bat,Sports & Games,Baseball
97,40,Worldwide,Ab,Aba/Abba,Academic & Science,Language & Linguistics
98,40,Georgia,ab,Abkhaz,Regional,Language Codes
99,40,Lithuania,AB,Akcinė Bendrovė,Business,Companies & Corporations
100,40,Worldwide,AB,Able Seaman,Governmental,Military
101,40,United,AB,Aberdeen postcode area,Regional,Postal Codes
102,40,Germany,AB,Aschaffenburg,Transport & Travel,License Plates
103,40,Worldwide,AB,Activision Blizzard,Business,Companies & Corporations
104,30,United,AB,AllianceBernstein,Business,Companies & Corporations
105,30,Worldwide,AB,Artium Baccalaureus,Academic & Science,Academic Degrees
106,30,South,AB,Abraham Benjamin,Society & Culture,Celebrities & Famous
107,30,Denmark,AB,Akademisk Boldklub,Associations & Organizations,Sports & Recreation Organizations
108,30,Australia,AB,Allan Border,Society & Culture,Celebrities & Famous
109,30,India,AB,Andhra Bank,Business,Banking
110,30,Worldwide,AB,Able Seaman,Business,Job Titles
111,30,United,AB,Airman Basic,Governmental,Military
112,20,South,AB,Afrikaner Broederbond,Associations & Organizations,Regional Organizations
113,20,United,AB,Aryan Brotherhood,Associations & Organizations,Regional Organizations
114,20,United,AB,Alderson Broaddus,Academic & Science,Universities & Institutions
115,20,India,AB,Ambur Railway Station,Transport & Travel,IRCTC Station Codes
116,20,United,AB,American Bandstand,News & Entertainment,TV & Radio
117,20,Greece,AB,Άλφα-Βήτα Βασιλόπουλος,Business,Companies & Corporations
118,10,Worldwide,AB,AnswerBag,Computing,Websites
119,80,Worldwide,ABB,Asea Brown Boveri,Business,Companies & Corporations
120,30,United,ABB,Association of British Bookmakers,Associations & Organizations,Trade Associations
121,20,Nigeria,ABB,Asaba Airport,Transport & Travel,Airport Codes
122,20,United,ABB,African Blood Brotherhood,Associations & Organizations,Regional Organizations
123,20,Worldwide,ABB,Accelerated Book Build,Business,Business Terms
124,20,United,ABB,Akron and Barberton Belt Railroad,Transport & Travel,Rail Transport
125,10,Malaysia,ABB,Affin Bank Berhad,Business,Banking
126,10,Australia,ABB,Australian Barley Board,Business,Companies & Corporations
127,70,Worldwide,Abbr,Abbreviation,Academic & Science,Language & Linguistics
128,40,Brazil,ABBR,Associação Brasileira Beneficente de Reabilitação,Medical,Hospitals
129,30,United,ABBR,Annual Benefits Base Rate,Business,Business Terms
130,80,United,ABC,American Broadcasting Company,Business,Companies & Corporations
131,70,Worldwide,ABC,Atanasoff–Berry Computer,Computing,Hardware
132,60,Australia,ABC,Australian Broadcasting Corporation,Business,Companies & Corporations
133,50,Worldwide,ABCD,American Born Confused Desi,Miscellaneous,Chat & Messaging
134,40,India,ABCD,Any Body Can Dance,News & Entertainment,Movies & Film
135,40,Worldwide,ABCD,Asset Based Community Development,Regional,Community
136,20,Worldwide,ABCD,"Albinism, Black Lock, Cell Migration",Medical,Diseases & Conditions
137,30,India,ABEC,Asian Business Exhibition & Conferences,Business,Companies & Corporations
138,30,United,ABEC,Arizona Business and Education Coalition,Associations & Organizations,Non-Profit Organizations
139,20,United,ABEC,Americans for Balanced Energy Choices,Associations & Organizations,Trade Associations
140,20,United,ABEC,Annular Bearing Engineers’ Committee,Technology,Specifications & Standards
141,30,United,ABHW,Association for Behavioral Health and Wellness,Associations & Organizations,Regional Organizations
142,20,Worldwide,ABIT,Airborne Information Transmission,Technology,Airplanes & Aircraft
143,100,Worldwide,ABL,Airborne Laser,Governmental,Weapons & Forces
144,80,Worldwide,ABM,Anti-ballistic Missile,Governmental,Weapons & Forces
145,70,United,ABM,American Business Media,Associations & Organizations,Trade Associations
146,60,Worldwide,ABM,Activity-based Management,Business,Business Management
147,70,Worldwide,ABP,Arterial Blood Pressure,Medical,Anatomy & Physiology
148,60,Worldwide,ABP,AdBlock Plus,Computing,Internet
149,50,United,ABP,Associated British Ports,Business,Companies & Corporations
150,50,India,ABP,আনন্দ বাজার পত্রিকা,Business,Companies & Corporations
151,40,Worldwide,ABP,Alternating Bit Protocol,Computing,Protocols
152,40,Worldwide,ABP,Actin-Binding Protein,Medical,Biochemistry
153,30,United,ABP,American Board of Prosthodontics,Associations & Organizations,Medical Organizations
154,20,United,ABP,Associated Baptist Press,News & Entertainment,News
155,20,United,ABP,Au Bon Pain,Business,Companies & Corporations
156,20,Worldwide,ABP,Activity-Based Pricing,Business,Finance
157,10,Papua,ABP,Atkamba Airport,Transport & Travel,Airport Codes
158,80,Worldwide,ABR,Auditory Brainstem Response,Medical,Anatomy & Physiology
159,100,Worldwide,ABS,Anti-lock Braking System,Technology,Automotive
160,90,Australia,ABS,Australian Bureau of Statistics,Governmental,Census & Statistics
161,80,Worldwide,Abs,Abdominals,Medical,Anatomy & Physiology
162,80,Worldwide,ABS,Acrylonitrile-Butadiene-Styrene,Academic & Science,Chemistry
163,60,United,ABS,American Bureau of Shipping,Transport & Travel,Water Transport
164,60,United,ABS,American Board of Surgery,Associations & Organizations,Medical Organizations
165,50,Worldwide,abs,absolute,Computing,Programming & Development
166,30,United,ABS,Aston Business School,Academic & Science,Universities & Institutions
167,20,United,ABS,American Boxwood Society,Associations & Organizations,Regional Organizations
168,20,Worldwide,abs,Abscissa Data File,Computing,File Extensions
169,20,Worldwide,ABS,Autonomous Biological System,Academic & Science,Research & Development
170,10,Egypt,ABS,Abu Simbel Airport,Transport & Travel,Airport Codes
171,10,Worldwide,ABS,Automatic Brightness Stabilization,Technology,Tech Terms
172,60,United,ABTA,Association of British Travel Agents,Associations & Organizations,Regional Organizations
173,20,United,ABTA,American Brain Tumor Association,Associations & Organizations,Regional Organizations
174,70,India,ABVP,अखिल भारतीय विद्यार्थी परिषद,Associations & Organizations,Regional Organizations
175,20,United,ABVP,American Board of Veterinary Practitioners,Academic & Science,Academic Degrees
176,100,Worldwide,AC,Alternating Current,Academic & Science,Electronics
177,90,Worldwide,AC,All Clear,Computing,General Computing
178,90,Worldwide,AC,Air Conditioner,Academic & Science,Engineering
179,80,Canada,AC,Air Canada,Transport & Travel,Airport Codes
180,50,Worldwide,ac,Ascension Island,Computing,Domain Names (TLD)
181,50,Worldwide,Ac,Actinium,Academic & Science,Chemistry
182,40,Brazil,AC,Acre,Regional,States & Districts
183,30,Worldwide,Ac,Acetyl Group,Academic & Science,Chemistry
184,70,Worldwide,AC3,Audio Coding 3,Computing,File Extensions
185,60,Worldwide,AC3,Assassin’s Creed III,Computing,Games & Entertainment
186,40,Worldwide,AC3,Armored Core 3,Computing,Games & Entertainment
187,40,Worldwide,AC3,Ace Combat 3,Computing,Games & Entertainment
188,30,Australia,ac3,Australian Centre for Advanced Computing and Communications,Business,Companies & Corporations
189,80,Worldwide,AC97,Audio Codec 97,Computing,Codec
190,90,Worldwide,ACAD,AutoCAD,Computing,Software & Applications
191,40,Worldwide,ACB,Air Circuit Breaker,Academic & Science,Electrical
192,20,United,ACB,American Chartered Bank,Business,Banking
193,20,United,ACB,American Council of the Blind,Associations & Organizations,Regional Organizations
194,20,Philippines,ACB,Asean Centre for Biodiversity,Associations & Organizations,Regional Organizations
195,20,Vietnam,ACB,Asia Commercial Bank,Business,Banking
196,20,United,ACB,Antrim County Airport,Transport & Travel,Airport Codes
197,20,Canada,ACB,Adjusted Cost Base,Business,Finance
198,80,Worldwide,ACC,Association of Corporate Counsel,Associations & Organizations,Trade Associations
199,40,United,ACC,Atlantic Coast Conference,Associations & Organizations,Sports & Recreation Organizations
200,40,United,ACC,Air Combat Command,Governmental,Security & Defence
201,30,India,ACC,Associated Cement Companies,Business,Companies & Corporations
202,20,India,ACC,Auxiliary Cadet corps,Governmental,Military
203,60,Worldwide,ACCA,Association of Chartered Certified Accountants,Associations & Organizations,Professional Associations
204,40,Australia,ACCA,Australian Centre For Contemporary Art,Regional,Buildings & Landmarks
205,40,United,ACCA,Air Conditioning Contractors of America,Associations & Organizations,Professional Associations
206,30,United,ACCA,American College Counseling Association,Associations & Organizations,Educational Organizations
207,30,United,ACCA,Association of County Commissions of Alabama,Associations & Organizations,Regional Organizations
208,30,United,ACCA,Army Court of Criminal Appeals,Governmental,Military
209,30,United,ACCA,Armed Career Criminal Act of 1984,Governmental,Law & Legal
210,30,United,ACCA,Association of Christian College Athletics,Associations & Organizations,Sports & Recreation Organizations
211,30,United,ACCA,American Clinical and Climatological Association,Associations & Organizations,Professional Associations
212,30,Australia,ACCA,Anglican Catholic Church in Australia,Society & Culture,Religion & Spirituality
213,20,United,ACCA,American Corporate Counsel Association,Associations & Organizations,Professional Associations
214,20,United,ACCA,Advanced Composite Cargo Aircraft,Transport & Travel,Air Transport
215,20,United,ACCA,Annandale Christian Community for Action,Associations & Organizations,Social Welfare Organizations
216,20,Australia,ACCA,Australasian Cemeteries & Crematoria Association,Associations & Organizations,Regional Organizations
217,20,United,ACCA,Antiochian Catholic Church in America,Society & Culture,Religion & Spirituality
218,60,Worldwide,Accenture,derived from “Accent on the future”,Business,Companies & Corporations
219,50,Worldwide,ACD,Automatic Call Distributor,Technology,Instruments & Devices
220,30,Worldwide,ACD,Anemia of Chronic Disease,Medical,Diseases & Conditions
221,20,Colombia,ACD,Alcides Fernández Airport,Transport & Travel,Airport Codes
222,20,Worldwide,ACD,Australian Cattle Dog,Animal Kingdom,Pets & Domesticated
223,10,India,ACD,Additional Cash Deposit,Governmental,Departments & Agencies
224,60,United,ACDA,American Choral Directors Association,Associations & Organizations,Arts Associations
225,30,United,ACDA,Arms Control and Disarmament Agency,Governmental,Departments & Agencies
226,30,Australia,ACDA,Air Conditioning Dealer Association,Associations & Organizations,Regional Organizations
227,30,Worldwide,ACDA,Assured Clear Distance Ahead,Governmental,Law & Legal
228,30,Netherlands,Acda,Thomas Acda,Society & Culture,Celebrities & Famous
229,20,Uganda,ACDA,Agoro Community Development Association,Associations & Organizations,Regional Organizations
230,20,United,ACDA,American Celiac Disease Alliance,Associations & Organizations,Regional Organizations
231,10,United,ACDA,American Country Dance Association,Associations & Organizations,Regional Organizations
232,10,United,ACDA,African and Caribbean Disablement Association,Associations & Organizations,Regional Organizations
233,20,Australia,ACDT,Australian Central Daylight Time,Regional,Time Zones
234,10,Worldwide,ACDT,Apple Certified Desktop Technician,Business,Job Titles
235,60,Worldwide,ACE2,Angiotensin-Converting Enzyme 2,Medical,Anatomy & Physiology
236,60,Worldwide,ACEA,Association des Constructeurs Européens d'Automobiles,Associations & Organizations,Trade Associations
237,40,Australia,ACEA,Association of Consulting Engineers Australia,Associations & Organizations,Regional Organizations
238,10,Italy,Acea,Azienda Comunale Elettricità e Acque,Business,Companies & Corporations
239,10,Canada,ACEA,Association Canadienne des Etudes Africaines,Associations & Organizations,Regional Organizations
240,80,Worldwide,Acer,"Latin word for “sharp, acute, able and facile”",Business,Companies & Corporations
241,60,Australia,ACER,Australian Council for Educational Research,Associations & Organizations,Educational Organizations
242,30,Worldwide,ACER,Agency for the Cooperation of Energy Regulators,Associations & Organizations,Regional Organizations
243,20,Worldwide,ACER,Alcoholism: Clinical & Experimental Research,News & Entertainment,Journals & Publications
244,20,Worldwide,ACER,Armored Combat Engineer Robot,Technology,Robotics & Automation
245,10,Canada,ACER,Acadia Centre for Estuarine Research,Academic & Science,Research & Development
246,50,India,ACES,Automation of Central Excise and Service Tax,Governmental,Policies & Programs
247,40,United,ACES,"Agricultural, Consumer and Environmental Sciences",Academic & Science,Universities & Institutions
248,40,United,ACES,American Copy Editors Society,Associations & Organizations,Professional Associations
249,40,Worldwide,ACES,Atomic Clock Ensemble in Space,Academic & Science,Astronomy & Space Science
250,40,Worldwide,ACES,Asian Chemical Editorial Society,Associations & Organizations,Professional Associations
251,40,Worldwide,ACES,Advanced Crew Escape Suit,Academic & Science,Astronomy & Space Science
252,30,United,ACES,Advanced Computerized Execution System,Business,Stock Market
253,30,Indonesia,ACeS,Asia Cellular Satellite,Business,Companies & Corporations
254,20,United,ACES,Alabama Cooperative Extension System,Academic & Science,Universities & Institutions
255,80,Worldwide,ACF,Action Contre La Faim,Associations & Organizations,International Orgaizations
256,70,United,ACF,Administration for Children and Families,Governmental,Departments & Agencies
257,70,Worldwide,ACF,AutoCorrelation Function,Technology,Tech Terms
258,50,United,ACF,American Culinary Federation,Associations & Organizations,Professional Associations
259,50,Worldwide,ACF,Anisotropic Conductive Film,Academic & Science,Electronics
260,50,Worldwide,ACF,Aberrant Crypt Foci,Medical,Anatomy & Physiology
261,50,Worldwide,ACF,AnteCubital Fossa,Medical,Anatomy & Physiology
262,40,South,ACF,Active Citizen Force,Governmental,Military
263,40,Australia,ACF,Australian Chess Federation,Sports & Games,Board Games
264,40,Australia,ACF,Australian Conservation Foundation,Associations & Organizations,Environment & Nature Organizations
265,40,United,ACF,Army Cadet Force,Associations & Organizations,Regional Organizations
266,40,France,ACF,Automobile Club de France,Associations & Organizations,Sports & Recreation Organizations
267,40,India,ACF,Assistant Conservator of Forests,Governmental,Titles
268,40,United,ACF,American Car and Foundry,Business,Companies & Corporations
269,40,Brazil,ACF,Associação Chapecoense de Futebol,Associations & Organizations,Sports & Recreation Organizations
270,40,Saint,acf,Saint Lucian Creole French,Regional,Language Codes
271,30,France,ACF,Ateliers et Chantiers de France,Regional,Buildings & Landmarks
272,30,Worldwide,ACF,African Clawed Frog,Animal Kingdom,Aquatic Life
273,20,India,ACF,Adivasi Cobra Force,Associations & Organizations,Extremist Groups
274,20,Worldwide,ACF,Arab Chess Federation,Associations & Organizations,Sports & Recreation Organizations
275,20,United,ACF,Academic Competition Federation,Associations & Organizations,Conferences & Events
276,20,United,ACF,American Checker Federation,Associations & Organizations,Sports & Recreation Organizations
277,20,Worldwide,ACF,Advanced Communication Function,Computing,Software & Applications
278,50,United,ACH,Automated Clearing House,Business,Finance
279,40,Worldwide,ACh,Acetylcholine,Medical,Anatomy & Physiology
280,30,Switzerland,ACH,St. Gallen-Altenrhein Airport,Transport & Travel,Airport Codes
281,20,United,ACH,Arkansas Children’s Hospital,Medical,Hospitals
282,20,New,ACH,Auckland City Hospital,Medical,Hospitals
283,10,Worldwide,ACH,Air Changes per Hour,Academic & Science,Units
284,40,Worldwide,ACHSI,Australian Council on Healthcare Standards International,Medical,Healthcare
285,70,United,ACLU,American Civil Liberties Union,Associations & Organizations,Regional Organizations
286,40,Worldwide,ACM,Association for Computing Machinery,Associations & Organizations,Professional Associations
287,30,Worldwide,ACM,Air Cycle Machine,Technology,Airplanes & Aircraft
288,20,United,ACM,Associated Colleges of the Midwest,Associations & Organizations,Educational Organizations
289,20,United,ACM,Academy of Contemporary Music,News & Entertainment,Music
290,20,United,ACM,Advanced Cruise Missile,Governmental,Weapons & Forces
291,20,Worldwide,ACM,Air Chief Marshal,Governmental,Titles
292,10,Singapore,ACM,Asian Civilisations Museum,Regional,Buildings & Landmarks
293,10,United,ACM,Afghanistan Campaign Medal,Governmental,Military
294,10,United,ACM,American Conservatory of Music,News & Entertainment,Music
295,10,Worldwide,ACM,Agency Credit Memo,Transport & Travel,Air Transport
296,40,South,ACP,"African, Caribbean, and Pacific",Associations & Organizations,International Orgaizations
297,30,Worldwide,ACP,Acyl Carrier Protein,Medical,Biochemistry
298,30,Worldwide,ACP,Aluminium Composite Panel,Academic & Science,Architecture & Constructions
299,20,Iran,ACP,Sahand Airport,Transport & Travel,Airport Codes
300,20,Australia,ACP,Australian Consolidated Press,Business,Companies & Corporations
301,20,Worldwide,ACP,Atmospheric Chemistry and Physics,Academic & Science,Atmospheric Sciences
302,20,India,ACP,Assistant Commissioner of Police,Governmental,Police
303,50,Worldwide,ACPI,Advanced Configuration and Power Interface,Computing,General Computing
304,20,Worldwide,ACPI,Association of Career Professionals International,Associations & Organizations,Professional Associations
305,20,United,ACPI,Accelerated Climate Prediction Initiative,Governmental,Policies & Programs
306,70,United,ACS,American Chemical Society,Associations & Organizations,Professional Associations
307,60,United,ACS,Affiliated Computer Services,Business,Companies & Corporations
308,40,Worldwide,ACS,Access Control System,Technology,Instruments & Devices
309,30,Australia,ACS,Australian Computer Society,Associations & Organizations,Technological Organizations
310,10,Russian,ACS,Achinsk Airport,Transport & Travel,Airport Codes
311,50,Worldwide,ACSR,Aluminium Conductor Steel Reinforced,Academic & Science,Electrical
312,10,United,ACSR,AIDS and Cancer Specimen Resource,Associations & Organizations,Medical Organizations
313,40,United,ACUA,Atlantic County Utilities Authority,Governmental,Departments & Agencies
314,30,Canada,ACUA,Alberta Council for the Ukrainian Arts,Associations & Organizations,Arts Associations
315,20,Worldwide,ACUA,Association of College and University Auditors,Associations & Organizations,Medical Organizations
316,20,United,ACUA,Alabama Credit Union Administration,Governmental,Departments & Agencies
317,20,Worldwide,ACUA,Advisory Council on Underwater Archaeology,Associations & Organizations,Professional Associations
318,10,Worldwide,ACUA,ArchiCAD Users Association,Associations & Organizations,Technological Organizations
319,30,United,ACWS,American Civil War Society,Associations & Organizations,Regional Organizations
320,20,United,ACWS,Aircraft Control and Warning Squadron,Governmental,Military
321,20,Australia,ACWS,Adelaide Coastal Waters Study,Academic & Science,Ocean Science
322,0,India,ACWS,Acknowledge Website & Software,Business,Companies & Corporations
323,0,Australia,ACWS,Australian Centre for Work Safety,Business,Companies & Corporations
324,90,Worldwide,AD,Anno Domini,Academic & Science,Language & Linguistics
325,80,Worldwide,Ad,Advertisement,Business,Marketing
326,70,Worldwide,AD,Active Directory,Computing,Programming & Development
327,70,Worldwide,AD,Art Director,Business,Job Titles
328,60,Worldwide,AD,Assistant Director,Business,Job Titles
329,60,Venezuela,AD,Acción Democrática,Governmental,Politics
330,90,Worldwide,ADA,Cardano,Computing,General Computing
331,80,United,ADA,Americans with Disabilities Act,Governmental,Rules & Regulations
332,80,Worldwide,ADA,Adenosine Deaminase,Medical,Biochemistry
333,70,United,ADA,American Diabetes Association,Associations & Organizations,Regional Organizations
334,50,India,ADA,Aeronautical Development Agency,Governmental,Departments & Agencies
335,40,United,ADA,American Dental Association,Associations & Organizations,Medical Organizations
336,40,Turkey,ADA,Adana Airport,Transport & Travel,Airport Codes
337,30,United,ADA,AntiDeficiency Act,Governmental,Law & Legal
338,20,Australia,ADA,Australian Dental Association,Associations & Organizations,Religious Organizations
339,50,United,ADAC,Abu Dhabi Airports Company,Transport & Travel,Air Transport
340,40,Germany,ADAC,Allgemeiner Deutscher Automobil-Club,Associations & Organizations,Regional Organizations
341,40,Worldwide,ADAC,Active Directory Administrative Center,Computing,Software & Applications
342,20,Australia,ADAC,Asset Design As Constructed,Governmental,Policies & Programs
343,20,India,ADAK,Agency for Development of Aquaculture,Governmental,Departments & Agencies
344,80,Worldwide,ADAS,Advanced Driver-Assistance Systems,Technology,Automotive
345,60,Worldwide,ADB,Asian Development Bank,Business,Banking
346,50,Worldwide,ADB,African Development Bank,Business,Banking
347,50,Worldwide,ADB,Automatic Differential Brake,Technology,Automotive
348,50,Worldwide,ADB,Android Debug Bridge,Computing,Software & Applications
349,50,Turkey,ADB,İzmir Adnan Menderes International Airport,Transport & Travel,Airport Codes
350,40,Worldwide,ADB,Advanced Digital Broadcast,Business,Companies & Corporations
351,20,Worldwide,ADB,Apple Desktop Bus,Computing,Hardware
352,10,Australia,ADB,Australian Dictionary of Biography,Computing,Internet
353,80,Worldwide,ADC,Analog to Digital Converter,Technology,Instruments & Devices
354,60,Worldwide,ADC,Art Directors Club,Associations & Organizations,Professional Associations
355,50,Worldwide,ADC,Apple Developer Connection,Computing,Programming & Development
356,50,Worldwide,ADC,Apple Display Connector,Computing,Hardware
357,40,Papua,ADC,Abau Airport,Transport & Travel,Airport Codes
358,40,Worldwide,ADC,Apparent Diffusion Coefficient,Medical,Laboratory
359,30,United,ADC,American-Arab Anti-Discrimination Committee,Associations & Organizations,Regional Organizations
360,30,Australia,ADC,Armidale Dumaresq Council,Regional,Provinces
361,30,United,ADC,Agree Realty Corporation,Business,NYSE Symbols
362,20,United,ADC,Aerospace Defense Command,Governmental,Security & Defence
363,20,Jordan,ADC,Aqaba Development Corporation,Governmental,Departments & Agencies
364,40,Worldwide,ADCA,Advance Diploma in Computer Applications,Academic & Science,Courses
365,30,United,ADCA,American Dexter Cattle Association,Associations & Organizations,Animal Welfare
366,30,Australia,ADCA,Australian Die Casting Association,Associations & Organizations,Trade Associations
367,20,Australia,ADCA,Alcohol and other Drugs Council of Australia,Associations & Organizations,Social Welfare Organizations
368,20,Worldwide,ADCA,Autosomal Dominant Cerebellar Ataxias,Medical,Diseases & Conditions
369,10,United,ADCA,American Dental Coders Association,Associations & Organizations,Professional Associations
370,10,United,ADCA,Antique Doorknob Collectors of America,Associations & Organizations,Regional Organizations
371,60,United,ADCB,Abu Dhabi Commercial Bank,Business,Banking
